N;file_name;flag;result
404;IMG_20181222_175622.JPG;Family;0.9999526739120483
405;IMG_20190104_184625.JPG;Family;1.0
406;IMG_20190124_101338.JPG;Work;0.00017077049415092915
407;IMG_20190220_134142.JPG;Work;8.983640498172463e-09
408;IMG_20190314_160456.JPG;Family;1.0
409;IMG_20190427_141836.JPG;Family;0.9999920129776001
410;IMG_20190506_134233.JPG;Family;1.0
411;IMG_20190510_161035.JPG;Family;0.9921804666519165
412;IMG_20190510_164559.JPG;Family;0.9977743029594421
413;IMG_20190521_132735.JPG;Work;0.14636807143688202
414;IMG_20190601_101723.jpg;Family;0.9998230338096619
415;IMG_20190626_212720.JPG;Family;0.999967098236084
416;IMG_20200107_133436.JPG;Family;1.0
417;IMG_20200311_104632.JPG;Family;0.9999693632125854
418;IMG_20200526_101937.JPG;Family;0.9736244678497314
419;IMG_20200601_132332.JPG;Family;1.0
420;IMG_20200625_160654.jpg;Family;0.9318488836288452
421;IMG_20200704_145520.JPG;Family;1.0
422;IMG_20200711_122811.JPG;Family;0.9835320711135864
423;IMG_20200806_140355.JPG;Work;1.2991753237656667e-06
424;IMG_20200808_125955.JPG;Family;1.0
425;IMG_20150823_131343.JPG;Family;1.0
426;IMG_20150825_170157.JPG;Family;1.0
427;IMG_20150918_202812.JPG;Work;0.011547825299203396
428;IMG_20150929_154223.JPG;Family;0.8579810857772827
429;IMG_20180830_132203.JPG;Family;0.9999887943267822
430;IMG_20151219_144711.JPG;Family;1.0
431;IMG_20151113_192509.JPG;Family;1.0
432;IMG_20150831_152758.JPG;Family;1.0
433;IMG_20150909_125921.JPG;Family;1.0
434;IMG_20150911_103708.JPG;Family;1.0
435;IMG_20190724_205903.JPG;Family;0.9999942779541016
436;IMG_20200611_150535.jpg;Work;0.10706345736980438
437;IMG_20160308_164704.JPG;Family;1.0
438;IMG_20160416_192351.JPG;Family;0.9999018907546997
439;IMG_20160502_125319.JPG;Family;1.0
440;IMG_20160509_141107.JPG;Work;0.15168112516403198
441;IMG_20160607_102428_2.JPG;Work;2.9353746792596487e-16
442;IMG_20160612_134128.JPG;Family;0.9983978867530823
443;IMG_20160620_115645.JPG;Work;0.741373598575592
444;IMG_20160627_142631.JPG;Work;1.4740320780377153e-13
445;IMG_20160627_182840.JPG;Family;0.9999998807907104
446;IMG_20160706_161105_1.JPG;Work;2.214599836847242e-09
447;IMG_20160710_134658.JPG;Family;0.999984860420227
448;IMG_20160802_231715_2.JPG;Family;1.0
449;IMG_20160809_160600.JPG;Family;0.9821999073028564
450;IMG_20160925_163149.JPG;Family;0.8790761828422546
451;IMG_20161008_090317.JPG;Family;0.9667752385139465
452;IMG_20161014_182831.JPG;Work;0.18714085221290588
453;IMG_20161023_154350.JPG;Family;0.9999741315841675
454;IMG_20161025_173957.JPG;Work;0.5188987255096436
455;IMG_20161107_193825.JPG;Family;0.9704252481460571
456;IMG_20190808_112054.JPG;Family;0.9996756315231323
457;IMG_20170115_175026.JPG;Family;0.9994296431541443
458;IMG_20170129_110840.JPG;Family;0.9973049163818359
459;IMG_20170315_093721.JPG;Work;0.0007762556779198349
460;IMG_20170604_182950.JPG;Family;1.0
461;IMG_20170617_211641.JPG;Family;1.0
462;IMG_20170619_175231.JPG;Work;0.00271409354172647
463;IMG_20170619_182434.JPG;Work;0.2678750157356262
464;IMG_20170620_174109.JPG;Family;0.9999860525131226
465;IMG_20170626_154413.JPG;Work;0.2135772705078125
466;IMG_20170706_121828.JPG;Family;0.9999998807907104
467;IMG_20170716_130416.JPG;Family;0.9999996423721313
468;IMG_20170808_164346.JPG;Work;2.6181327484664507e-05
469;IMG_20170901_102533.JPG;Family;1.0
470;IMG_20170902_125737.JPG;Family;0.9999996423721313
471;IMG_20170903_173433.JPG;Family;0.99973064661026
472;IMG_20171123_162814.JPG;Family;0.9949117302894592
473;IMG_20171123_171003.JPG;Family;0.9996832609176636
474;IMG_20180102_154657.JPG;Family;1.0
475;IMG_20180106_215955.JPG;Family;0.9999865293502808
476;IMG_20180210_120450.JPG;Family;0.9999909400939941
477;IMG_20180219_135522.JPG;Family;0.9973219037055969
478;IMG_20180309_160231.jpg;Family;0.9981471300125122
479;IMG_20180318_172552.JPG;Family;1.0
480;IMG_20180323_163413.jpg;Family;0.886943519115448
481;IMG_20180323_163906.jpg;Work;0.2781416177749634
482;IMG_20180328_142833.JPG;Work;4.964896652381867e-05
483;IMG_20180426_102202.jpg;Work;0.025387883186340332
484;IMG_20180501_220345.JPG;Family;1.0
485;IMG_20180503_151807.JPG;Family;0.9999847412109375
486;IMG_20180504_162407.JPG;Work;0.12061315029859543
487;IMG_20180504_170115.JPG;Family;0.9549891948699951
488;IMG_20180602_123837.JPG;Work;0.19044533371925354
489;IMG_20180610_174305.JPG;Family;1.0
490;IMG_20180622_084302.jpg;Family;0.9328387975692749
491;IMG_20180719_121801.JPG;Family;0.9775483012199402
492;IMG_20180912_123937.JPG;Work;7.660000846954063e-07
493;IMG_20180811_201514.jpg;Family;1.0
494;IMG_20180815_081437.JPG;Family;0.9109228849411011
495;IMG_20180821_143240.JPG;Family;0.9291861653327942
496;IMG_20180830_131904.JPG;Family;0.999768078327179
497;IMG_20181013_135422.JPG;Family;1.0
498;IMG_20181017_122012.jpg;Family;0.999954104423523
